s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,MLR_WATER VAPOR
-6.00E+01, 0.00E+00,-5.01E-04, 9.58E-08, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00,-5.01E-04, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00
-5.50E+01, 9.96E+02,-3.60E+02, 8.88E+00,-3.31E+01, 0.00E+00, 0.00E+00,-6.06E+00, 6.00E+02, 6.05E+02, 0.00E+00, 2.44E-02, 0.00E+00, 0.00E+00
-5.00E+01, 1.12E+03,-4.17E+02,-4.76E+01,-6.82E+01, 0.00E+00, 0.00E+00,-6.37E+00, 5.85E+02, 5.84E+02, 0.00E+00, 2.50E-02, 0.00E+00, 0.00E+00
-4.50E+01, 1.12E+03,-4.40E+02,-1.26E+02,-9.89E+01, 0.00E+00, 0.00E+00,-6.35E+00, 4.46E+02, 4.45E+02, 0.00E+00, 2.49E-02, 0.00E+00, 0.00E+00
-4.00E+01, 1.12E+03,-4.89E+02,-1.91E+02,-1.30E+02, 0.00E+00, 0.00E+00,-6.36E+00, 3.04E+02, 3.04E+02, 0.00E+00, 2.51E-02, 0.00E+00, 0.00E+00
-3.50E+01, 1.13E+03,-5.40E+02,-2.31E+02,-1.48E+02, 0.00E+00, 0.00E+00,-6.44E+00, 2.03E+02, 2.01E+02, 0.00E+00, 2.52E-02, 0.00E+00, 0.00E+00
-3.00E+01, 1.12E+03,-5.87E+02,-2.46E+02,-1.66E+02, 0.00E+00, 0.00E+00,-6.33E+00, 1.14E+02, 1.14E+02, 0.00E+00, 2.48E-02, 0.00E+00, 0.00E+00
-2.50E+01, 1.13E+03,-6.23E+02,-2.56E+02,-1.74E+02, 0.00E+00, 0.00E+00,-6.42E+00, 6.92E+01, 6.64E+01, 0.00E+00, 2.52E-02, 0.00E+00, 0.00E+00
-2.00E+01, 1.15E+03,-6.56E+02,-2.60E+02,-1.79E+02, 0.00E+00, 0.00E+00,-6.50E+00, 5.26E+01, 4.99E+01, 0.00E+00, 2.53E-02, 0.00E+00, 0.00E+00
-1.50E+01, 1.12E+03,-6.59E+02,-2.57E+02,-1.79E+02, 0.00E+00, 0.00E+00,-6.44E+00, 1.81E+01, 1.56E+01, 0.00E+00, 2.51E-02, 0.00E+00, 0.00E+00
-9.99E+00, 1.14E+03,-6.73E+02,-2.64E+02,-1.80E+02, 0.00E+00, 0.00E+00,-6.53E+00, 1.93E+01, 1.52E+01, 0.00E+00, 2.52E-02, 0.00E+00, 0.00E+00
-5.00E+00, 1.13E+03,-6.77E+02,-2.63E+02,-1.81E+02, 0.00E+00, 0.00E+00,-6.46E+00, 1.03E+01, 5.64E+00, 0.00E+00, 2.51E-02, 0.00E+00, 0.00E+00
 1.31E-03, 1.12E+03,-6.82E+02,-2.57E+02,-1.84E+02, 0.00E+00, 0.00E+00,-6.42E+00,-1.07E+00,-5.53E+00, 0.00E+00, 2.51E-02, 0.00E+00, 0.00E+00
 5.00E+00, 1.07E+03,-4.97E+02,-5.57E+01,-1.57E+02, 0.00E+00, 0.00E+00,-9.39E+02,-5.74E+02,-5.75E+02, 0.00E+00, 2.49E-02, 0.00E+00, 3.27E-01
 1.00E+01, 1.13E+03,-3.61E+02,-4.93E+01,-9.28E+01, 0.00E+00, 0.00E+00,-7.20E+02,-9.75E+01,-9.83E+01, 0.00E+00, 2.54E-02, 0.00E+00, 2.41E-01
