s,C,C,kg/m2
Time,"null","null","null"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 1.6000000E-002
 5.0000000E+000, 2.0480000E+001, 2.0106142E+001, 1.6000000E-002
 1.0000000E+001, 2.1280000E+001, 2.0649504E+001, 1.6000000E-002
 1.5000000E+001, 2.2208000E+001, 2.1443814E+001, 1.6000000E-002
 2.0000000E+001, 2.3040000E+001, 2.2338640E+001, 1.6000000E-002
 2.4000000E+001, 2.3760000E+001, 2.3080874E+001, 1.6000000E-002
 2.9000000E+001, 2.4480000E+001, 2.3807397E+001, 1.6000000E-002
 3.4000000E+001, 2.5280000E+001, 2.4611576E+001, 1.6000000E-002
 3.9000000E+001, 2.6208000E+001, 2.5453537E+001, 1.6000000E-002
 4.4000000E+001, 2.7040000E+001, 2.6356405E+001, 1.6000000E-002
 4.8000000E+001, 2.7760000E+001, 2.7098506E+001, 1.6000000E-002
 5.3000000E+001, 2.8480000E+001, 2.7824626E+001, 1.6000000E-002
 5.8000000E+001, 2.9280000E+001, 2.8628529E+001, 1.6000000E-002
 6.3000000E+001, 3.0208000E+001, 2.9471341E+001, 1.6000000E-002
 6.8000000E+001, 3.1040000E+001, 3.0374596E+001, 1.6000000E-002
 7.2000000E+001, 3.1760000E+001, 3.1115416E+001, 1.6000000E-002
 7.7000000E+001, 3.2480000E+001, 3.1840979E+001, 1.6000000E-002
 8.2000000E+001, 3.3280000E+001, 3.2644597E+001, 1.6000000E-002
 8.7000000E+001, 3.4208000E+001, 3.3488269E+001, 1.6000000E-002
 9.2000000E+001, 3.5040000E+001, 3.4391840E+001, 1.6000000E-002
 9.6000000E+001, 3.5760000E+001, 3.5131411E+001, 1.6000000E-002
 1.0100000E+002, 3.6480000E+001, 3.5856468E+001, 1.6000000E-002
 1.0600000E+002, 3.7280000E+001, 3.6659831E+001, 1.6000000E-002
 1.1100000E+002, 3.8208000E+001, 3.7504377E+001, 1.6000000E-002
 1.1600000E+002, 3.9040000E+001, 3.8408195E+001, 1.6000000E-002
 1.2000000E+002, 3.9760000E+001, 3.9146554E+001, 1.6000000E-002
 1.2500000E+002, 4.0480000E+001, 3.9871151E+001, 1.6000000E-002
 1.3000000E+002, 4.1280000E+001, 4.0674285E+001, 1.6000000E-002
 1.3500000E+002, 4.2208000E+001, 4.1519716E+001, 1.6000000E-002
 1.4000000E+002, 4.3040000E+001, 4.2423714E+001, 1.6000000E-002
 1.4400000E+002, 4.3760000E+001, 4.3160900E+001, 1.6000000E-002
 1.4900000E+002, 4.4480000E+001, 4.3885081E+001, 1.6000000E-002
 1.5400000E+002, 4.5280000E+001, 4.4688010E+001, 1.6000000E-002
 1.5900000E+002, 4.6208000E+001, 4.5534335E+001, 1.6000000E-002
 1.6400000E+002, 4.7040000E+001, 4.6438446E+001, 1.6000000E-002
 1.6800000E+002, 4.7760000E+001, 4.7174501E+001, 1.6000000E-002
 1.7300000E+002, 4.8480000E+001, 4.7898308E+001, 1.6000000E-002
 1.7800000E+002, 4.9280000E+001, 4.8701051E+001, 1.6000000E-002
 1.8300000E+002, 5.0208000E+001, 4.9548276E+001, 1.6000000E-002
 1.8800000E+002, 5.1040000E+001, 5.0452439E+001, 1.6000000E-002
 1.9200000E+002, 5.1760000E+001, 5.1187406E+001, 1.6000000E-002
 1.9700000E+002, 5.2480000E+001, 5.1910876E+001, 1.6000000E-002
 2.0200000E+002, 5.3280000E+001, 5.2713452E+001, 1.6000000E-002
 2.0700000E+002, 5.4208000E+001, 5.3561580E+001, 1.6000000E-002
 2.1200000E+002, 5.5040000E+001, 5.4465733E+001, 1.6000000E-002
 2.1600000E+002, 5.5760000E+001, 5.5199659E+001, 1.6000000E-002
 2.2100000E+002, 5.6480000E+001, 5.5922827E+001, 1.6000000E-002
 2.2600000E+002, 5.7280000E+001, 5.6725252E+001, 1.6000000E-002
 2.3100000E+002, 5.8208000E+001, 5.7574286E+001, 1.6000000E-002
 2.3600000E+002, 5.9040000E+001, 5.8478371E+001, 1.6000000E-002
 2.4000000E+002, 5.9760000E+001, 5.9211301E+001, 1.6000000E-002
 2.4500000E+002, 6.0480000E+001, 5.9934199E+001, 1.6000000E-002
 2.5000000E+002, 6.1280000E+001, 6.0736486E+001, 1.6000000E-002
 2.5500000E+002, 6.2208000E+001, 6.1586428E+001, 1.6000000E-002
 2.6000000E+002, 6.3040000E+001, 6.2490388E+001, 1.6000000E-002
 2.6400000E+002, 6.3760000E+001, 6.3222372E+001, 1.6000000E-002
 2.6900000E+002, 6.4480000E+001, 6.3945028E+001, 1.6000000E-002
 2.7400000E+002, 6.5280000E+001, 6.4747190E+001, 1.6000000E-002
 2.7900000E+002, 6.6208000E+001, 6.5598037E+001, 1.6000000E-002
 2.8400000E+002, 6.7040000E+001, 6.6501821E+001, 1.6000000E-002
 2.8800000E+002, 6.7760000E+001, 6.7232905E+001, 1.6000000E-002
 2.9300000E+002, 6.8480000E+001, 6.7955347E+001, 1.6000000E-002
 2.9800000E+002, 6.9280000E+001, 6.8757395E+001, 1.6000000E-002
 3.0300000E+002, 7.0208000E+001, 6.9609145E+001, 1.6000000E-002
 3.0800000E+002, 7.1040000E+001, 7.0512702E+001, 1.6000000E-002
 3.1200000E+002, 7.1760000E+001, 7.1242935E+001, 1.6000000E-002
 3.1700000E+002, 7.2480000E+001, 7.1965186E+001, 1.6000000E-002
 3.2200000E+002, 7.3280000E+001, 7.2767128E+001, 1.6000000E-002
 3.2700000E+002, 7.4208000E+001, 7.3619778E+001, 1.6000000E-002
 3.3200000E+002, 7.5040000E+001, 7.4523063E+001, 1.6000000E-002
 3.3600000E+002, 7.5760000E+001, 7.5252493E+001, 1.6000000E-002
 3.4100000E+002, 7.6480000E+001, 7.5974573E+001, 1.6000000E-002
 3.4600000E+002, 7.7280000E+001, 7.6776418E+001, 1.6000000E-002
 3.5100000E+002, 7.8208000E+001, 7.7629964E+001, 1.6000000E-002
