s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
Time,TC_001,TC_002,TC_003,TC_004,TC_005,TC_006,TC_007,TC_008,TC_009,TC_010,TC_011,TC_012,TC_013,TC_014,TC_015,TC_016,TC_017,TC_018,TC_019,TC_020,TC_021,TC_022,TC_023,TC_024,TC_025,TC_026,TC_027,TC_028,TC_029,TC_030,TC_031,TC_032,TC_033,TC_034,TC_035,TC_036,TC_037,TC_038,TC_039,TC_040,TC_041,TC_042,TC_043,TC_044,TC_045,TC_046,TC_047,TC_048,TC_049,TC_050,TC_051,TC_052,TC_053,TC_054,TC_055,TC_056,TC_057,TC_058,TC_059,TC_060,TC_061,TC_062,TC_063,TC_064,TC_065,TC_066,TC_067,TC_068,TC_069,TC_070,TC_071,TC_072,TC_073,TC_074,TC_075,TC_076,TC_077,TC_078,TC_079,TC_080,TC_081,TC_082,TC_083,TC_084,TC_085,TC_086,TC_087,TC_088,TC_089,TC_090,TC_091,TC_092,TC_093,TC_094,TC_095,TC_096,TC_097,TC_098,TC_099,TC_100,TC_101,TC_102,TC_103,TC_104,O2_FLOOR,CO2_FLOOR,CO_FLOOR,O2_VENT,CO2_VENT,CO_VENT,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 0.000E+000, 2.078E-001, 3.868E-004, 0.000E+000, 0.000E+000
 1.004E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.800E+001, 1.805E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.804E+001, 1.808E+001, 1.825E+001, 1.854E+001, 1.800E+001, 1.813E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.800E+001, 1.803E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 8.960E-051, 2.078E-001, 3.868E-004, 3.783E-039, 0.000E+000
 2.001E+001, 1.994E+001, 1.876E+001, 1.818E+001, 1.822E+001, 1.827E+001, 1.833E+001, 1.835E+001, 1.842E+001, 1.850E+001, 1.800E+001, 2.366E+001, 4.957E+001, 5.130E+001, 5.544E+001, 5.978E+001, 6.455E+001, 6.953E+001, 7.211E+001, 7.745E+001, 8.259E+001, 1.800E+001, 2.061E+001, 2.010E+001, 1.878E+001, 1.823E+001, 1.823E+001, 1.824E+001, 1.826E+001, 1.827E+001, 1.830E+001, 1.834E+001, 1.800E+001, 1.839E+001, 1.806E+001, 1.806E+001, 1.805E+001, 1.804E+001, 1.803E+001, 1.802E+001, 1.802E+001, 1.803E+001, 1.803E+001, 2.494E+001, 2.479E+001, 2.373E+001, 2.381E+001, 2.306E+001, 2.244E+001, 2.155E+001, 1.812E+001, 1.965E+001, 2.176E+001, 2.194E+001, 1.836E+001, 2.083E+001, 2.754E+001, 2.794E+001, 1.814E+001, 2.101E+001, 2.827E+001, 2.702E+001, 1.819E+001, 1.981E+001, 2.217E+001, 2.124E+001, 1.903E+001, 1.900E+001, 1.873E+001, 2.067E+001, 2.236E+001, 3.331E+001, 1.800E+001, 1.800E+001, 1.802E+001, 1.800E+001, 1.801E+001, 1.809E+001, 1.800E+001, 1.802E+001, 1.810E+001, 1.800E+001, 1.800E+001, 1.802E+001, 1.800E+001, 1.800E+001, 1.802E+001, 1.803E+001, 1.819E+001, 1.875E+001, 1.868E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.802E+001, 1.802E+001, 1.809E+001, 1.810E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.802E+001, 1.802E+001, 2.078E-001, 3.868E-004, 6.771E-047, 2.064E-001, 1.221E-003, 2.614E-006, 0.000E+000
 3.001E+001, 3.122E+001, 2.276E+001, 1.897E+001, 1.910E+001, 1.931E+001, 1.956E+001, 1.970E+001, 2.000E+001, 2.035E+001, 1.800E+001, 4.304E+001, 1.147E+002, 1.171E+002, 1.237E+002, 1.322E+002, 1.419E+002, 1.526E+002, 1.582E+002, 1.724E+002, 1.907E+002, 1.800E+001, 3.010E+001, 2.885E+001, 2.218E+001, 1.909E+001, 1.908E+001, 1.912E+001, 1.919E+001, 1.924E+001, 1.937E+001, 1.953E+001, 1.800E+001, 2.005E+001, 2.116E+001, 1.931E+001, 1.823E+001, 1.816E+001, 1.814E+001, 1.813E+001, 1.813E+001, 1.814E+001, 1.816E+001, 5.349E+001, 5.192E+001, 4.861E+001, 4.942E+001, 4.749E+001, 4.533E+001, 4.247E+001, 2.708E+001, 3.573E+001, 4.141E+001, 3.985E+001, 2.740E+001, 3.801E+001, 6.367E+001, 5.875E+001, 2.604E+001, 3.767E+001, 6.035E+001, 5.776E+001, 2.701E+001, 3.429E+001, 4.201E+001, 4.185E+001, 3.120E+001, 3.078E+001, 2.934E+001, 3.916E+001, 4.076E+001, 7.277E+001, 1.802E+001, 1.856E+001, 2.218E+001, 1.802E+001, 1.809E+001, 2.077E+001, 1.802E+001, 1.812E+001, 2.084E+001, 1.801E+001, 1.814E+001, 2.165E+001, 1.802E+001, 1.817E+001, 1.951E+001, 2.356E+001, 2.831E+001, 3.014E+001, 2.994E+001, 1.801E+001, 1.801E+001, 1.861E+001, 2.001E+001, 2.240E+001, 2.239E+001, 2.310E+001, 1.801E+001, 1.802E+001, 1.801E+001, 1.864E+001, 1.914E+001, 1.907E+001, 1.914E+001, 2.078E-001, 3.868E-004, 1.573E-039, 2.037E-001, 2.779E-003, 7.493E-006, 0.000E+000
 4.000E+001, 4.451E+001, 2.825E+001, 2.158E+001, 2.187E+001, 2.231E+001, 2.285E+001, 2.308E+001, 2.371E+001, 2.442E+001, 1.800E+001, 7.600E+001, 1.590E+002, 1.534E+002, 1.545E+002, 1.621E+002, 1.726E+002, 1.870E+002, 1.948E+002, 2.147E+002, 2.381E+002, 1.800E+001, 4.631E+001, 5.107E+001, 3.777E+001, 2.590E+001, 2.164E+001, 2.099E+001, 2.120E+001, 2.136E+001, 2.173E+001, 2.208E+001, 1.800E+001, 2.469E+001, 3.139E+001, 2.377E+001, 1.860E+001, 1.846E+001, 1.842E+001, 1.839E+001, 1.839E+001, 1.842E+001, 1.849E+001, 8.677E+001, 8.356E+001, 7.736E+001, 7.751E+001, 7.319E+001, 7.003E+001, 6.554E+001, 4.978E+001, 6.226E+001, 6.832E+001, 6.571E+001, 4.416E+001, 5.787E+001, 1.004E+002, 8.922E+001, 4.134E+001, 5.758E+001, 1.030E+002, 9.040E+001, 4.428E+001, 5.670E+001, 6.310E+001, 6.235E+001, 4.845E+001, 4.564E+001, 4.920E+001, 6.076E+001, 6.142E+001, 1.051E+002, 2.751E+001, 3.366E+001, 4.156E+001, 2.342E+001, 2.874E+001, 3.752E+001, 2.196E+001, 2.861E+001, 3.651E+001, 2.022E+001, 2.759E+001, 3.562E+001, 2.140E+001, 2.625E+001, 3.162E+001, 3.910E+001, 4.384E+001, 4.682E+001, 4.776E+001, 1.982E+001, 2.396E+001, 2.755E+001, 3.256E+001, 3.551E+001, 3.621E+001, 3.864E+001, 1.857E+001, 2.048E+001, 2.489E+001, 2.759E+001, 2.916E+001, 2.950E+001, 3.263E+001, 2.078E-001, 3.868E-004, 9.195E-034, 2.011E-001, 4.297E-003, 1.225E-005, 0.000E+000
 5.001E+001, 6.065E+001, 3.628E+001, 2.648E+001, 2.675E+001, 2.728E+001, 2.799E+001, 2.822E+001, 2.911E+001, 3.015E+001, 1.802E+001, 1.230E+002, 1.922E+002, 1.836E+002, 1.814E+002, 1.920E+002, 2.081E+002, 2.280E+002, 2.395E+002, 2.692E+002, 3.070E+002, 1.801E+001, 6.655E+001, 7.561E+001, 5.730E+001, 3.511E+001, 2.543E+001, 2.460E+001, 2.476E+001, 2.493E+001, 2.518E+001, 2.540E+001, 1.800E+001, 3.078E+001, 4.270E+001, 3.142E+001, 1.963E+001, 1.897E+001, 1.891E+001, 1.889E+001, 1.891E+001, 1.898E+001, 1.912E+001, 1.256E+002, 1.178E+002, 1.083E+002, 1.063E+002, 9.991E+001, 9.628E+001, 9.021E+001, 6.936E+001, 8.458E+001, 9.639E+001, 9.328E+001, 5.807E+001, 7.414E+001, 1.364E+002, 1.208E+002, 5.046E+001, 7.643E+001, 1.467E+002, 1.221E+002, 5.825E+001, 7.610E+001, 8.576E+001, 8.517E+001, 6.255E+001, 5.711E+001, 6.639E+001, 8.057E+001, 8.908E+001, 1.439E+002, 4.364E+001, 5.187E+001, 5.987E+001, 3.992E+001, 4.711E+001, 5.264E+001, 4.131E+001, 4.657E+001, 5.081E+001, 3.403E+001, 4.042E+001, 4.780E+001, 3.407E+001, 4.022E+001, 4.587E+001, 5.441E+001, 6.008E+001, 6.333E+001, 6.644E+001, 3.290E+001, 3.494E+001, 4.088E+001, 4.784E+001, 5.088E+001, 5.168E+001, 5.758E+001, 2.675E+001, 3.242E+001, 3.741E+001, 4.081E+001, 4.258E+001, 4.428E+001, 5.100E+001, 2.078E-001, 3.868E-004, 3.350E-031, 1.994E-001, 5.285E-003, 1.534E-005, 0.000E+000
 6.000E+001, 7.063E+001, 4.167E+001, 3.214E+001, 3.267E+001, 3.336E+001, 3.423E+001, 3.432E+001, 3.552E+001, 3.693E+001, 1.808E+001, 2.131E+002, 2.788E+002, 2.657E+002, 2.656E+002, 2.821E+002, 3.034E+002, 3.317E+002, 3.496E+002, 3.938E+002, 4.522E+002, 1.804E+001, 9.148E+001, 1.071E+002, 8.287E+001, 4.935E+001, 3.071E+001, 2.911E+001, 2.887E+001, 2.900E+001, 2.932E+001, 2.980E+001, 1.801E+001, 3.665E+001, 5.398E+001, 4.384E+001, 3.020E+001, 2.524E+001, 2.346E+001, 2.285E+001, 2.237E+001, 2.143E+001, 2.102E+001, 1.708E+002, 1.615E+002, 1.448E+002, 1.410E+002, 1.306E+002, 1.257E+002, 1.177E+002, 1.014E+002, 1.202E+002, 1.361E+002, 1.309E+002, 7.842E+001, 1.042E+002, 1.904E+002, 1.637E+002, 6.075E+001, 9.536E+001, 1.816E+002, 1.607E+002, 6.997E+001, 8.898E+001, 1.018E+002, 1.107E+002, 8.634E+001, 6.933E+001, 7.825E+001, 9.680E+001, 1.082E+002, 2.003E+002, 6.289E+001, 7.463E+001, 8.574E+001, 5.669E+001, 6.302E+001, 6.998E+001, 5.623E+001, 6.065E+001, 6.256E+001, 4.758E+001, 4.915E+001, 5.697E+001, 4.272E+001, 4.796E+001, 5.667E+001, 6.744E+001, 6.976E+001, 7.306E+001, 8.419E+001, 4.191E+001, 4.596E+001, 5.553E+001, 5.828E+001, 6.117E+001, 6.272E+001, 7.574E+001, 3.653E+001, 4.502E+001, 5.017E+001, 5.300E+001, 5.402E+001, 5.756E+001, 6.883E+001, 2.078E-001, 3.868E-004, 5.606E-026, 1.978E-001, 6.248E-003, 1.836E-005, 2.000E+000
 7.001E+001, 7.532E+001, 5.307E+001, 3.850E+001, 3.508E+001, 3.464E+001, 3.484E+001, 3.461E+001, 3.519E+001, 3.618E+001, 1.825E+001, 2.157E+002, 2.494E+002, 2.427E+002, 2.537E+002, 2.824E+002, 3.202E+002, 3.593E+002, 3.792E+002, 4.255E+002, 4.824E+002, 1.812E+001, 8.993E+001, 1.183E+002, 1.002E+002, 7.844E+001, 5.881E+001, 4.142E+001, 3.165E+001, 3.036E+001, 3.029E+001, 3.029E+001, 1.803E+001, 3.899E+001, 6.263E+001, 5.572E+001, 4.382E+001, 3.708E+001, 3.380E+001, 3.092E+001, 2.897E+001, 2.671E+001, 2.497E+001, 1.631E+002, 1.519E+002, 1.371E+002, 1.339E+002, 1.257E+002, 1.212E+002, 1.150E+002, 1.061E+002, 1.195E+002, 1.357E+002, 1.383E+002, 8.301E+001, 9.959E+001, 1.384E+002, 1.568E+002, 7.815E+001, 1.042E+002, 1.310E+002, 1.537E+002, 7.656E+001, 8.440E+001, 1.056E+002, 1.103E+002, 8.609E+001, 8.502E+001, 8.345E+001, 8.914E+001, 1.071E+002, 1.863E+002, 8.351E+001, 9.042E+001, 9.755E+001, 7.885E+001, 7.778E+001, 7.955E+001, 7.162E+001, 6.713E+001, 6.836E+001, 6.463E+001, 5.716E+001, 6.498E+001, 5.219E+001, 5.536E+001, 6.318E+001, 6.840E+001, 7.392E+001, 7.487E+001, 9.033E+001, 4.991E+001, 5.525E+001, 6.093E+001, 6.364E+001, 6.729E+001, 6.655E+001, 8.353E+001, 4.881E+001, 5.550E+001, 5.899E+001, 6.148E+001, 6.383E+001, 6.574E+001, 8.003E+001, 2.075E-001, 3.863E-004, 5.411E-024, 1.922E-001, 7.488E-003, 2.227E-005, 4.000E+000
 8.000E+001, 8.700E+001, 6.818E+001, 5.114E+001, 4.329E+001, 3.859E+001, 3.627E+001, 3.555E+001, 3.462E+001, 3.417E+001, 1.859E+001, 2.275E+002, 2.526E+002, 2.513E+002, 2.643E+002, 2.882E+002, 3.212E+002, 3.601E+002, 3.803E+002, 4.255E+002, 4.756E+002, 1.827E+001, 8.379E+001, 1.181E+002, 1.036E+002, 7.950E+001, 6.278E+001, 4.906E+001, 3.659E+001, 3.157E+001, 3.000E+001, 3.070E+001, 1.806E+001, 3.927E+001, 6.821E+001, 6.446E+001, 5.432E+001, 4.925E+001, 3.987E+001, 2.781E+001, 2.595E+001, 2.462E+001, 2.366E+001, 1.408E+002, 1.362E+002, 1.236E+002, 1.217E+002, 1.151E+002, 1.119E+002, 1.071E+002, 1.041E+002, 1.184E+002, 1.308E+002, 1.304E+002, 8.849E+001, 1.053E+002, 1.144E+002, 1.181E+002, 8.675E+001, 9.570E+001, 1.115E+002, 1.241E+002, 8.024E+001, 8.933E+001, 1.060E+002, 1.080E+002, 9.283E+001, 8.676E+001, 8.475E+001, 9.448E+001, 1.086E+002, 1.694E+002, 8.462E+001, 9.043E+001, 9.716E+001, 8.175E+001, 8.260E+001, 8.364E+001, 7.526E+001, 7.288E+001, 7.913E+001, 7.287E+001, 6.671E+001, 6.904E+001, 6.536E+001, 6.121E+001, 6.779E+001, 7.341E+001, 7.964E+001, 8.777E+001, 9.225E+001, 5.664E+001, 5.921E+001, 6.446E+001, 6.860E+001, 7.325E+001, 7.639E+001, 8.635E+001, 5.411E+001, 5.883E+001, 6.208E+001, 6.524E+001, 6.874E+001, 7.152E+001, 8.180E+001, 2.063E-001, 3.960E-004, 3.726E-008, 1.851E-001, 9.129E-003, 2.743E-005, 4.000E+000
