s,m/s,m/s,kg/m/s,kg/m3
Time,null,null,null,null
 0.000E+00,-1.220E-19,-1.902E-03, 6.754E-05, 1.195E+00
 1.028E+00, 5.026E-01, 5.022E-01, 9.464E-05, 1.195E+00
 2.054E+00, 1.315E+00, 1.322E+00, 9.225E-05, 1.195E+00
 3.012E+00, 2.101E+00, 2.143E+00, 2.112E-04, 1.195E+00
 4.011E+00, 2.858E+00, 2.949E+00, 1.074E-03, 1.195E+00
 5.005E+00, 3.601E+00, 3.735E+00, 3.011E-03, 1.195E+00
 6.015E+00, 4.316E+00, 4.405E+00, 4.914E-03, 1.195E+00
 7.003E+00, 4.993E+00, 5.340E+00, 4.985E-03, 1.195E+00
 8.005E+00, 5.626E+00, 6.093E+00, 6.723E-03, 1.195E+00
 9.001E+00, 6.217E+00, 6.646E+00, 7.532E-03, 1.195E+00
 1.001E+01, 6.758E+00, 7.317E+00, 6.120E-03, 1.195E+00
 1.101E+01, 7.254E+00, 7.871E+00, 1.055E-02, 1.195E+00
 1.200E+01, 7.706E+00, 8.580E+00, 1.299E-02, 1.195E+00
 1.301E+01, 8.115E+00, 8.991E+00, 1.079E-02, 1.195E+00
 1.401E+01, 8.481E+00, 9.142E+00, 1.481E-02, 1.195E+00
 1.500E+01, 8.806E+00, 9.546E+00, 1.282E-02, 1.195E+00
 1.601E+01, 9.105E+00, 9.726E+00, 9.453E-03, 1.195E+00
 1.701E+01, 9.372E+00, 9.972E+00, 9.309E-03, 1.195E+00
 1.800E+01, 9.609E+00, 1.060E+01, 1.095E-02, 1.195E+00
 1.900E+01, 9.820E+00, 1.093E+01, 1.479E-02, 1.195E+00
 2.000E+01, 1.001E+01, 1.116E+01, 1.157E-02, 1.195E+00
 2.100E+01, 1.019E+01, 1.112E+01, 1.070E-02, 1.195E+00
 2.200E+01, 1.034E+01, 1.127E+01, 1.554E-02, 1.195E+00
 2.300E+01, 1.046E+01, 1.148E+01, 2.006E-02, 1.195E+00
 2.400E+01, 1.057E+01, 1.126E+01, 1.334E-02, 1.195E+00
 2.501E+01, 1.067E+01, 1.099E+01, 1.197E-02, 1.195E+00
 2.600E+01, 1.074E+01, 1.172E+01, 1.403E-02, 1.195E+00
 2.700E+01, 1.081E+01, 1.169E+01, 1.147E-02, 1.195E+00
 2.800E+01, 1.087E+01, 1.181E+01, 1.375E-02, 1.195E+00
 2.900E+01, 1.092E+01, 1.163E+01, 1.367E-02, 1.195E+00
 3.001E+01, 1.097E+01, 1.177E+01, 1.380E-02, 1.195E+00
 3.100E+01, 1.102E+01, 1.168E+01, 1.326E-02, 1.195E+00
 3.200E+01, 1.106E+01, 1.197E+01, 1.337E-02, 1.195E+00
 3.300E+01, 1.110E+01, 1.209E+01, 1.551E-02, 1.195E+00
 3.401E+01, 1.114E+01, 1.184E+01, 1.423E-02, 1.195E+00
