s,C,C,C,m/s,m/s,C,C,C,
Time,"TC Array 1","TC Array 2","TC Array 3","Velocity Probe 1","Velocity Probe 2","Slow","Medium","Fast","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000, 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.004E+001, 1.800E+001, 1.800E+001, 1.800E+001, 6.007E-003, 8.866E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.000E+001, 1.872E+001, 1.805E+001, 1.811E+001, 1.393E+000, 4.835E-001, 1.810E+001, 1.817E+001, 1.883E+001, 0.000E+000
 3.000E+001, 3.226E+001, 2.283E+001, 1.972E+001, 2.728E+000, 2.145E+000, 1.907E+001, 1.983E+001, 2.601E+001, 0.000E+000
 4.000E+001, 5.279E+001, 3.982E+001, 4.039E+001, 4.019E+000, 3.085E+000, 2.196E+001, 2.470E+001, 4.372E+001, 0.000E+000
 5.001E+001, 7.185E+001, 5.632E+001, 5.984E+001, 5.263E+000, 3.843E+000, 2.743E+001, 3.370E+001, 7.103E+001, 0.000E+000
 6.001E+001, 9.197E+001, 6.976E+001, 7.418E+001, 6.289E+000, 4.572E+000, 3.681E+001, 4.879E+001, 1.109E+002, 2.000E+000
 7.001E+001, 1.274E+002, 1.005E+002, 6.554E+001, 5.477E+000, 5.002E+000, 4.770E+001, 6.561E+001, 1.428E+002, 4.000E+000
 8.000E+001, 1.468E+002, 1.241E+002, 7.669E+001, 6.089E+000, 4.929E+000, 5.681E+001, 7.871E+001, 1.541E+002, 6.000E+000
 9.001E+001, 1.600E+002, 1.317E+002, 8.655E+001, 5.966E+000, 4.500E+000, 6.582E+001, 9.105E+001, 1.626E+002, 8.000E+000
 1.000E+002, 1.380E+002, 1.171E+002, 7.833E+001, 4.521E+000, 4.041E+000, 7.223E+001, 9.861E+001, 1.540E+002, 9.000E+000
 1.100E+002, 1.292E+002, 1.097E+002, 6.283E+001, 3.719E+000, 3.942E+000, 7.509E+001, 1.005E+002, 1.354E+002, 1.000E+001
