XO2,eta,Chi_R
0.208, -0.10,  2.74
0.208, -0.08,  0.00
0.208,  0.84,  0.26
0.208,  0.97,  0.25
0.208,  0.92,  0.24
0.208,  1.00,  0.26
0.202,  0.99,  0.25
0.197,  0.96,  0.25
0.192,  0.95,  0.22
0.187,  0.97,  0.21
0.183,  0.99,  0.22
0.178,  0.97,  0.21
0.174,  0.96,  0.20
0.170,  0.98,  0.20
0.167,  0.95,  0.18
0.163,  0.97,  0.18
0.159,  0.96,  0.17
0.156,  0.96,  0.17
0.153,  0.99,  0.16
0.150,  0.96,  0.16
0.147,  0.98,  0.15
0.144,  0.97,  0.14
0.141,  0.95,  0.13
0.139,  0.96,  0.13
0.136,  0.97,  0.12
0.134,  0.97,  0.11
0.132,  0.93,  0.11
0.129,  0.97,  0.10
0.127,  0.97,  0.09
0.125,  0.95,  0.08
0.123,  0.92,  0.06
0.121,  0.90,  0.06
0.119,  0.80,  0.04
0.117,  0.55,  0.04
0.115,  0.38,  0.00
0.114,  0.26,  0.00
0.112,  0.14,  0.00
0.110,  0.12,  0.00
0.109,  0.06,  0.00
0.107,  0.05,  0.00
0.106,  0.01,  0.00
0.104, -0.00,  0.00
0.103, -0.02,  0.00
0.101, -0.03,  0.00
0.100, -0.04,  0.00
0.099, -0.05,  0.00
0.097, -0.06,  0.00
0.096, -0.06,  0.00
0.095, -0.07,  0.00
0.094, -0.08,  0.00
0.093, -0.08,  0.00
0.092, -0.08,  0.00
0.090, -0.09,  0.00
0.089, -0.09,  0.00
0.088, -0.09,  0.00
0.087, -0.09,  0.00
0.086, -0.09,  0.00
0.085, -0.09,  0.00
0.084, -0.10,  0.00
0.083, -0.09,  0.00
0.082, -0.09,  0.00
0.082, -0.10,  0.00
0.081, -0.10,  0.00
0.080, -0.10,  0.00
0.079, -0.10,  0.00
0.078, -0.10,  0.00
